Global_ID,Rng,Pas,StandCount_gr
2202_3026,12,15,NA
2202_3027,12,16,NA
2202_3028,12,17,NA
2202_3029,12,18,NA
2202_3030,12,19,NA
2202_4026,12,20,NA
2202_4027,12,21,NA
2202_4028,12,22,NA
2202_4029,12,23,NA
2202_4030,12,24,NA
