Global_ID,Plot,ENTRY,REP,IBLK,Rng,Pas,Name,Identity1,Pedigree,Trial,Origin,Selection,Description1,Year,Location,Planter,Harvester,PLOTWT,MOIST,FLWR,HT,LDG,MTR,DS,P_FT,NOTES,yield,CBB,DD,SDWT2,StandCount_gr,boxes_gt,pred_count_01,boxes_gt_10m_6_13_22,pred_count_7m_6_10_22,plant_pop_total,avg_dist_plot,2pl_plot,gap_plant_plot
2201_1021,1021,17,1,4,4,5,B10244,ZENITH,"B04644/ZORRO, ZENITH",2201,08B118 -02-02,NA,NA,2022,SVREC,56,796,1156.68,20.76,47,31,1,98,4,16,NA,20.15,1,1,27.15,136,123,95,97,74,123,8.701678821,10,9
2201_1022,1022,33,1,4,4,6,B21715,NA,B16501/B16504,2201,18B228-07-06,20T2337,18A0228-18L225-18-19T579-19T1264-20T2337,2022,SVREC,75,795,1406.16,20.41,49,37,1,98,4,16,NA,24.6,1,1,23.14,139,126,97,93,59,126,8.201711144,18,17
2201_1023,1023,18,1,4,4,7,B20542,NA,B16501/B15430,2201,18B227-08-02,19-20T650,18A0227-18L224-18-19T570-19T1259-19-20T650,2022,SVREC,82,794,1292.76,20.26,47,37,1,97,4,16,NA,22.66,1,1,26.15,155,141,113,100,72,141,7.173379329,22,4
2201_1024,1024,19,1,4,4,8,B20616,NA,B17106/B17259,2201,18B274-01-05,19-20T850,18A0274-18L268-18-19T816-19T1384-19-20T850,2022,SVREC,101,793,1034.21,20.44,47,47,1,101,5,16,NA,18.09,3,1,21.9,153,117,113,97,59,117,8.584264009,5,9
2201_1025,1025,36,1,5,5,3,B21705,NA,B14302/B15430,2201,18B211-05-07,20T2264,18A0211-18L210-18-19T472-19T1209-20T2264,2022,SVREC,31,803,1324.51,20.3,49,47,2,102,6,16,NA,23.2,1,3,24.11,162,139,114,114,75,139,7.619527675,9,5
2201_1026,1026,9,1,5,5,4,B20538,NA,B15430/B16504,2201,18B217-12-02,19-20T631,18A0217-18L216-18-19T510-19T1229-19-20T631,2022,SVREC,48,804,1106.78,20.56,49,37,2,101,5,16,NA,19.33,1,2,23.08,145,114,97,90,67,114,8.483447628,6,9
2201_1027,1027,22,1,5,5,5,I19703,BLACK BEARD,"BL14506, BLACK BEARD",2201,"Provita, BL14506",NA,BLK,2022,SVREC,57,805,1016.06,19.67,48,57,2,102,5,16,NA,17.94,1,4,26.59,136,100,88,87,66,100,10.52435653,1,18
2201_1028,1028,13,1,5,5,6,B20532,NA,B15430/B16504,2201,18B217-08-02,19-20T616,18A0217-18L216-18-19T506-19T1226-19-20T616,2022,SVREC,74,806,1446.98,20.02,49,39,2,102,5,16,NA,25.44,1,2,22.36,138,114,91,89,68,114,8.827425059,14,15
2201_1029,1029,27,1,5,5,7,B21712,NA,B16501/B16504,2201,18B228-03-05,20T2325,18A0228-18L225-18-19T575-19T1262-20T2325,2022,SVREC,83,807,1220.18,20.28,48,44,2,98,4,16,NA,21.38,1,2,24.37,149,128,105,105,68,128,8.180750876,7,10
2201_1030,1030,34,1,5,5,8,B21711,NA,B16501/B15430,2201,18B227-08-06,20T2320,18A0227-18L224-18-19T570-19T1259-20T2320,2022,SVREC,100,808,1274.62,19.43,48,40,1,98,4,16,NA,22.57,1,1,26.65,132,118,103,94,63,118,8.400732706,9,11
2201_1031,1031,16,1,6,6,3,B19340,NA,B16507/B15453,2201,17B249-03-03,18-19T1111,17A0249-17L262-17-18T771-18T1270-18-19T1111,2022,SVREC,32,1198,1102.25,19.5,49,36,1,101,5,16,NA,19.5,1,2,24.73,127,110,91,86,57,110,8.373839357,10,10
2201_1032,1032,11,1,6,6,4,B20639,NA,B17730/B15430,2201,18B329-08-01,19-20T903,18A0329-18L322-18-19T980-19T1455-19-20T903,2022,SVREC,47,1197,1338.12,20.38,48,45,2,102,7,16,NA,23.42,1,3,23.8,137,125,94,94,62,125,9.082031588,12,16
2201_1033,1033,25,1,6,6,5,B21708,NA,B15430/B16504,2201,18B217-09-05,20T2289,18A0217-18L216-18-19T507-19T1227-20T2289,2022,SVREC,58,1196,938.95,18.89,47,33,2,101,5,16,NA,16.74,1,2,24.02,141,125,86,87,63,124,8.335846177,16,12
2201_1034,1034,14,1,6,6,6,B20617,NA,B17106/N14218,2201,18B280-01-01,19-20T851,18A0280-18L274-18-19T827-19T1390-19-20T851,2022,SVREC,73,1195,1215.65,20.17,47,44,1,98,5,16,NA,21.33,1,1,22.92,148,138,113,110,73,138,7.755195895,17,9
2201_1035,1035,20,1,6,6,7,B20547,NA,B16501/B16504,2201,18B228-07-01,19-20T666,18A0228-18L225-18-19T579-19T1264-19-20T666,2022,SVREC,84,1194,1397.09,19.06,48,34,1,101,4,16,NA,24.86,1,2,24.82,147,128,104,103,64,128,7.878042948,12,9
2201_1036,1036,21,1,6,6,8,I21901,NIMBUS,"BL14500, NIMBUS",2201,PROVITA,NA,BLK,2022,SVREC,99,1193,1084.1,20.19,52,56,3,103,4,16,NA,19.02,1,4,25.16,75,66,59,53,32,66,12.69646408,3,25
2201_2001,2001,9,2,1,1,9,B20538,NA,B15430/B16504,2201,18B217-12-02,19-20T631,18A0217-18L216-18-19T510-19T1229-19-20T631,2022,SVREC,105,9,1465.13,20.63,48,60,3,101,4,16,NA,25.56,1,4,24.16,146,132,113,111,79,132,7.93777472,10,10
2201_2002,2002,23,2,1,1,10,B04554,ZORRO,"B00103*/X00822, ZORRO",2201,01B008 -04-01-06,NA,NA,2022,SVREC,130,10,1056.89,19.52,47,42,3,101,4,16,NA,18.7,1,4,21.57,126,103,90,95,55,103,9.035266499,5,14
2201_2003,2003,3,2,1,1,11,B20591,NA,B16505/B16504,2201,18B252-06-02,19-20T788,18A0252-18L248-18-19T727-19T1341-19-20T788,2022,SVREC,131,11,993.38,19.43,47,44,2,100,4,16,NA,17.59,1,4,23.02,151,132,108,102,74,132,8.119702679,6,10
2201_2004,2004,20,2,1,1,12,B20547,NA,B16501/B16504,2201,18B228-07-01,19-20T666,18A0228-18L225-18-19T579-19T1264-19-20T666,2022,SVREC,156,12,1406.16,19.88,48,42,2,101,4,16,NA,24.76,1,3,22.7,163,132,118,107,72,132,7.991803965,10,9
2201_2005,2005,29,2,1,1,13,B21713,NA,B16501/B16504,2201,18B228-06-03,20T2328,18A0228-18L225-18-19T578-19T1263-20T2328,2022,SVREC,157,13,1469.66,20.33,48,43,3,102,4,16,NA,25.74,1,3,24.35,145,133,112,104,74,133,7.84631314,9,7
