image_id_ori,image_id,Type,SC
22021021,278,pred_count,112
22021022,281,pred_count,113
22021023,284,pred_count,108
22021024,287,pred_count,112
22021025,290,pred_count,120
22021026,293,pred_count,79
22021027,296,pred_count,105
22021028,299,pred_count,110
22021029,302,pred_count,105
22021030,305,pred_count,59
22022001,308,pred_count,114
22022002,311,pred_count,110
22022003,314,pred_count,107
22022004,317,pred_count,123
22022005,320,pred_count,104
22022006,323,pred_count,106
22022007,326,pred_count,97
22022008,329,pred_count,116
22022009,332,pred_count,92
22022010,335,pred_count,112
22022011,338,pred_count,108
22022012,341,pred_count,109
22022013,344,pred_count,106
22022014,347,pred_count,105
22022015,350,pred_count,110
22022016,353,pred_count,113
22022017,356,pred_count,97
22022018,359,pred_count,95
22022019,362,pred_count,71
22022020,365,pred_count,106
22022021,368,pred_count,113
22022022,371,pred_count,112
22022023,374,pred_count,106
22022024,377,pred_count,102
22022025,380,pred_count,114
22022026,383,pred_count,104
22022027,386,pred_count,113
22022028,389,pred_count,86
22022029,392,pred_count,94
22022030,395,pred_count,91
22011001,3,StandCount_gr,136
22011002,6,StandCount_gr,158
22011003,9,StandCount_gr,153
22011004,12,StandCount_gr,145
22011005,15,StandCount_gr,138
22011006,18,StandCount_gr,114
22011007,21,StandCount_gr,153
22011008,24,StandCount_gr,154
22011009,27,StandCount_gr,141
22011010,30,StandCount_gr,148
22011011,33,StandCount_gr,142
22011012,36,StandCount_gr,157
22011013,39,StandCount_gr,156
22011014,42,StandCount_gr,155
22011015,45,StandCount_gr,155
22011016,48,StandCount_gr,137
22011017,51,StandCount_gr,163
22011018,54,StandCount_gr,150
22011019,57,StandCount_gr,122
22011020,60,StandCount_gr,121
22011021,63,StandCount_gr,145
22011022,66,StandCount_gr,153
22011023,69,StandCount_gr,142
22011024,72,StandCount_gr,156
22011025,75,StandCount_gr,162
22011026,78,StandCount_gr,145
22011027,81,StandCount_gr,136
22011028,84,StandCount_gr,138
22011029,87,StandCount_gr,149
22011030,90,StandCount_gr,132
22011031,93,StandCount_gr,157
22011032,96,StandCount_gr,140
22011033,99,StandCount_gr,148
22011034,102,StandCount_gr,135
22011035,105,StandCount_gr,158
22011036,108,StandCount_gr,150
22012001,111,StandCount_gr,146
22012002,114,StandCount_gr,126
22012003,117,StandCount_gr,151
22012004,120,StandCount_gr,163
22012005,123,StandCount_gr,145
22012006,126,StandCount_gr,148
22012007,129,StandCount_gr,138
22012008,132,StandCount_gr,144
22012009,135,StandCount_gr,121
22012010,138,StandCount_gr,140
22012011,141,StandCount_gr,155
22012012,144,StandCount_gr,132
22012013,147,StandCount_gr,130
22012014,150,StandCount_gr,129
22012015,153,StandCount_gr,143
22012016,156,StandCount_gr,130
22012017,159,StandCount_gr,149
22012018,162,StandCount_gr,162
22012019,165,StandCount_gr,151
22012020,168,StandCount_gr,125
22012021,171,StandCount_gr,157
22012022,174,StandCount_gr,154
22012023,177,StandCount_gr,158
22012024,180,StandCount_gr,132
22012025,183,StandCount_gr,139
22012026,186,StandCount_gr,153
22012027,189,StandCount_gr,140
22012028,192,StandCount_gr,140
22012029,195,StandCount_gr,146
22012030,198,StandCount_gr,153
22012031,201,StandCount_gr,154
22012032,204,StandCount_gr,123
22012033,207,StandCount_gr,155
22012034,210,StandCount_gr,125
22012035,213,StandCount_gr,98
22012036,216,StandCount_gr,153
